"","decades","designer","count","score","row_order"
"1","1990s","Reiner Knizia",36,6.58111111111111,1
"2","1990s","James Ernest",19,5.78263157894737,2
"3","1990s","Wolfgang Kramer",17,6.75058823529412,3
"4","1990s","Klaus Teuber",12,6.49333333333333,4
"5","1990s","Jervis Johnson",11,6.77363636363636,5
"6","2000s","Reiner Knizia",103,6.24679611650485,6
"7","2000s","Wolfgang Kramer",31,6.47258064516129,7
"8","2000s","Michael Schacht",31,6.29548387096774,8
"9","2000s","Alan R. Moon",28,6.46714285714286,9
"10","2000s","Martin Wallace",27,6.94962962962963,10
"11","2010s","Reiner Knizia",45,6.59911111111111,11
"12","2010s","Bruno Cathala",41,6.83048780487805,12
"13","2010s","Eric M. Lang",36,7.1175,13
"14","2010s","Martin Wallace",35,6.95142857142857,14
"15","2010s","Inka Brand",35,6.92971428571429,15
"16","2020s","Prospero Hall",12,7.0275,16
"17","2020s","Reiner Knizia",11,7.13909090909091,17
"18","2020s","Scott Almes",9,7.31666666666667,18
"19","2020s","Dávid Turczi",8,7.49875,19
"20","2020s","Inka Brand",8,7.47375,20
